mage_id,Group,Metric 1,Metric 2,Metric 3,Method
1.00E+00,Group A,7.22E-01,3.13E-02,9.93E+01,Method 1
2.00E+00,Group A,8.57E-01,1.82E-01,1.25E+00,Method 1
3.00E+00,Group A,6.41E-01,4.50E-01,8.24E+00,Method 1
4.00E+00,Group A,5.96E-01,5.76E-01,5.19E+01,Method 1
5.00E+00,Group A,4.35E-01,3.85E-01,8.96E+01,Method 1
6.00E+00,Group A,7.78E-01,1.22E-01,1.37E+01,Method 1
7.00E+00,Group A,7.28E-01,1.07E-02,7.35E+01,Method 1
8.00E+00,Group A,6.64E-01,4.59E-01,6.04E+00,Method 1
9.00E+00,Group A,8.80E-01,1.25E-02,1.23E+01,Method 1
1.00E+01,Group A,5.19E-01,1.34E-01,2.07E+02,Method 1
1.10E+01,Group A,8.63E-01,7.31E-02,2.42E+00,Method 1
1.20E+01,Group A,8.75E-01,1.90E-01,4.97E+00,Method 1
1.30E+01,Group A,5.39E-01,5.14E-01,4.07E+01,Method 1
1.40E+01,Group A,8.73E-01,2.99E-02,3.43E+01,Method 1
1.50E+01,Group A,5.06E-01,4.18E-01,1.83E+01,Method 1
2.30E+01,Group B,5.63E-01,6.50E-01,2.15E+01,Method 1
2.40E+01,Group B,9.17E-01,5.28E-04,4.44E+00,Method 1
2.50E+01,Group B,7.82E-01,9.88E-02,1.45E+01,Method 1
2.60E+01,Group B,8.03E-01,2.47E-01,9.04E+00,Method 1
2.70E+01,Group B,8.80E-01,1.30E-01,4.32E+00,Method 1
2.80E+01,Group B,8.94E-01,1.33E-02,4.86E+00,Method 1
2.90E+01,Group B,8.06E-01,7.77E-03,5.86E+00,Method 1
3.00E+01,Group B,6.81E-01,3.54E-01,8.31E+01,Method 1
3.10E+01,Group B,8.28E-01,3.65E-02,8.49E+00,Method 1
3.20E+01,Group B,7.95E-01,5.10E-02,1.06E+01,Method 1
3.30E+01,Group B,7.62E-01,3.49E-01,2.14E+01,Method 1
3.40E+01,Group B,8.69E-01,3.27E-02,1.00E+01,Method 1
3.50E+01,Group B,7.93E-01,4.62E-02,7.16E+00,Method 1
3.60E+01,Group B,8.13E-01,7.40E-02,5.32E+01,Method 1
3.70E+01,Group B,8.17E-01,2.51E-01,1.04E+01,Method 1
5.80E+01,Group C,8.48E-01,1.62E-01,5.00E+00,Method 1
5.90E+01,Group C,8.88E-01,2.32E-02,5.25E+00,Method 1
6.00E+01,Group C,9.02E-01,9.05E-02,2.96E+00,Method 1
6.10E+01,Group C,8.62E-01,1.36E-01,1.00E+01,Method 1
6.20E+01,Group C,7.78E-01,2.43E-01,1.03E+01,Method 1
6.30E+01,Group C,8.63E-01,3.21E-02,5.65E+00,Method 1
6.40E+01,Group C,8.22E-01,1.69E-01,3.88E+01,Method 1
6.50E+01,Group C,8.15E-01,3.21E-03,1.09E+01,Method 1
6.60E+01,Group C,4.75E-01,1.90E+00,3.52E+01,Method 1
6.70E+01,Group C,9.01E-01,6.46E-02,8.33E+00,Method 1
6.80E+01,Group C,8.53E-01,1.45E-01,5.00E+00,Method 1
6.90E+01,Group C,8.63E-01,2.16E-01,5.35E+00,Method 1
7.00E+01,Group C,6.20E-01,3.17E-01,1.97E+01,Method 1
7.10E+01,Group C,8.27E-01,2.02E-01,6.94E+00,Method 1
7.20E+01,Group C,8.98E-01,8.09E-03,5.00E+00,Method 1
1.00E+00,Group A,7.29E-01,2.89E-01,8.97E+01,Method 2
2.00E+00,Group A,8.75E-01,1.58E-01,1.41E+00,Method 2
3.00E+00,Group A,6.20E-01,5.42E-01,9.74E+00,Method 2
4.00E+00,Group A,6.08E-01,6.17E-01,5.19E+01,Method 2
5.00E+00,Group A,5.36E-01,3.35E-01,8.63E+01,Method 2
6.00E+00,Group A,7.21E-01,4.03E-01,1.30E+01,Method 2
7.00E+00,Group A,7.27E-01,2.93E-02,4.10E+01,Method 2
8.00E+00,Group A,7.55E-01,3.18E-01,4.10E+00,Method 2
9.00E+00,Group A,8.99E-01,1.05E-01,1.03E+01,Method 2
1.00E+01,Group A,6.08E-01,9.67E-02,1.76E+02,Method 2
1.10E+01,Group A,8.66E-01,6.37E-02,3.35E+00,Method 2
1.20E+01,Group A,8.60E-01,2.86E-01,5.00E+00,Method 2
1.30E+01,Group A,6.26E-01,3.67E-01,2.72E+01,Method 2
1.40E+01,Group A,8.76E-01,9.86E-02,1.50E+02,Method 2
1.50E+01,Group A,5.18E-01,5.17E-01,2.28E+01,Method 2
2.30E+01,Group B,4.91E-01,6.32E-01,4.35E+01,Method 2
2.40E+01,Group B,9.08E-01,7.96E-02,5.06E+00,Method 2
2.50E+01,Group B,7.81E-01,1.05E-01,1.34E+01,Method 2
2.60E+01,Group B,8.30E-01,1.90E-01,3.75E+00,Method 2
2.70E+01,Group B,8.89E-01,1.19E-01,2.85E+00,Method 2
2.80E+01,Group B,9.32E-01,0.00E+00,1.46E+00,Method 2
2.90E+01,Group B,8.12E-01,8.14E-05,2.24E+01,Method 2
3.00E+01,Group B,7.09E-01,3.59E-01,8.75E+01,Method 2
3.10E+01,Group B,8.24E-01,1.81E-02,5.95E+00,Method 2
3.20E+01,Group B,8.09E-01,4.80E-03,1.31E+01,Method 2
3.30E+01,Group B,7.96E-01,2.10E-01,1.95E+01,Method 2
3.40E+01,Group B,8.84E-01,2.61E-02,5.05E+00,Method 2
3.50E+01,Group B,8.14E-01,1.52E-01,5.05E+00,Method 2
3.60E+01,Group B,8.45E-01,8.96E-02,1.80E+01,Method 2
3.70E+01,Group B,8.70E-01,1.71E-01,6.62E+00,Method 2
5.80E+01,Group C,8.41E-01,2.19E-01,5.00E+00,Method 2
5.90E+01,Group C,8.97E-01,3.44E-02,5.20E+00,Method 2
6.00E+01,Group C,9.17E-01,6.71E-02,2.44E+00,Method 2
6.10E+01,Group C,8.66E-01,1.25E-01,1.72E+01,Method 2
6.20E+01,Group C,8.20E-01,2.20E-01,1.00E+01,Method 2
6.30E+01,Group C,8.68E-01,2.14E-02,4.68E+00,Method 2
6.40E+01,Group C,8.27E-01,5.37E-02,4.16E+01,Method 2
6.50E+01,Group C,8.14E-01,2.64E-04,1.09E+01,Method 2
6.60E+01,Group C,4.78E-01,1.65E+00,3.61E+01,Method 2
6.70E+01,Group C,9.01E-01,1.02E-01,6.92E+00,Method 2
6.80E+01,Group C,8.67E-01,1.19E-01,5.00E+00,Method 2
6.90E+01,Group C,8.77E-01,1.56E-01,5.00E+00,Method 2
7.00E+01,Group C,5.45E-01,3.81E-01,2.09E+01,Method 2
7.10E+01,Group C,8.32E-01,1.82E-01,7.22E+00,Method 2
7.20E+01,Group C,8.90E-01,8.82E-03,5.00E+00,Method 2
1.00E+00,Group A,7.88E-01,2.74E-01,2.50E+00,Method 3
2.00E+00,Group A,8.67E-01,1.63E-01,1.41E+00,Method 3
3.00E+00,Group A,6.72E-01,4.64E-01,8.43E+00,Method 3
4.00E+00,Group A,6.23E-01,5.18E-01,5.39E+01,Method 3
5.00E+00,Group A,5.36E-01,2.27E-01,9.28E+01,Method 3
6.00E+00,Group A,7.57E-01,3.09E-01,1.25E+01,Method 3
7.00E+00,Group A,7.34E-01,4.19E-02,3.93E+01,Method 3
8.00E+00,Group A,7.22E-01,3.83E-01,4.95E+00,Method 3
9.00E+00,Group A,9.06E-01,5.42E-02,8.56E+00,Method 3
1.00E+01,Group A,5.62E-01,1.02E-01,1.72E+02,Method 3
1.10E+01,Group A,8.86E-01,1.82E-02,1.42E+00,Method 3
1.20E+01,Group A,8.43E-01,3.41E-01,5.00E+00,Method 3
1.30E+01,Group A,3.91E-01,6.68E-01,2.59E+01,Method 3
1.40E+01,Group A,8.67E-01,1.04E-01,1.51E+02,Method 3
1.50E+01,Group A,5.54E-01,4.13E-01,1.90E+01,Method 3
2.30E+01,Group B,5.31E-01,5.61E-01,2.90E+01,Method 3
2.40E+01,Group B,9.14E-01,1.08E-03,4.37E+00,Method 3
2.50E+01,Group B,7.93E-01,1.59E-02,1.20E+01,Method 3
2.60E+01,Group B,8.56E-01,1.52E-01,7.50E+00,Method 3
2.70E+01,Group B,9.01E-01,1.00E-01,2.98E+00,Method 3
2.80E+01,Group B,9.27E-01,4.44E-02,1.46E+00,Method 3
2.90E+01,Group B,8.11E-01,4.73E-02,6.07E+00,Method 3
3.00E+01,Group B,6.06E-01,5.21E-01,8.77E+01,Method 3
3.10E+01,Group B,8.23E-01,3.11E-02,7.62E+00,Method 3
3.20E+01,Group B,8.26E-01,1.65E-02,8.86E+00,Method 3
3.30E+01,Group B,7.88E-01,2.83E-01,2.13E+01,Method 3
3.40E+01,Group B,8.87E-01,1.94E-02,9.70E+00,Method 3
3.50E+01,Group B,8.39E-01,7.81E-04,5.09E+00,Method 3
3.60E+01,Group B,8.43E-01,1.10E-03,1.80E+01,Method 3
3.70E+01,Group B,8.88E-01,1.25E-01,5.77E+00,Method 3
5.80E+01,Group C,8.69E-01,9.62E-02,4.29E+00,Method 3
5.90E+01,Group C,8.83E-01,4.73E-02,5.99E+00,Method 3
6.00E+01,Group C,9.23E-01,4.09E-02,2.38E+00,Method 3
6.10E+01,Group C,8.67E-01,1.32E-01,2.07E+01,Method 3
6.20E+01,Group C,8.65E-01,7.35E-02,5.05E+00,Method 3
6.30E+01,Group C,8.67E-01,5.64E-03,5.65E+00,Method 3
6.40E+01,Group C,8.52E-01,6.12E-02,3.35E+01,Method 3
6.50E+01,Group C,8.11E-01,3.90E-02,1.18E+01,Method 3
6.60E+01,Group C,4.40E-01,2.20E+00,4.04E+01,Method 3
6.70E+01,Group C,9.09E-01,9.70E-03,3.49E+00,Method 3
6.80E+01,Group C,8.75E-01,5.50E-02,5.00E+00,Method 3
6.90E+01,Group C,8.71E-01,1.95E-01,5.55E+00,Method 3
7.00E+01,Group C,6.72E-01,1.37E-01,2.00E+01,Method 3
7.10E+01,Group C,8.37E-01,1.82E-01,7.09E+00,Method 3
7.20E+01,Group C,8.99E-01,1.46E-02,5.00E+00,Method 3
